[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -18.0, 5.114623575650246, 187.5, 0], Array([53.75408015], dtype=float64), 0.9975624068967441, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -13.0, 0.10538852128472602, 187.5, 0], Array([100195.03489937], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -15.5, 1.4980217492673897, 187.5, 0], Array([45.90866995], dtype=float64), 0.9999702277540735, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.25, 2.7142874758924407, 187.5, 0], Array([349.03626057], dtype=float64), 6.930910937734268e-71, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.875, 3.7092777518008044, 187.5, 0], Array([56.87757826], dtype=float64), 0.9911347909677986, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.5625, 5.943956545684787, 187.5, 0], Array([118.01000798], dtype=float64), 1.4826159970677303e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.71875, 6.093242088970764, 187.5, 0], Array([87.62638791], dtype=float64), 0.09528325908397374, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.640625, 0.44024694400687214, 187.5, 0], Array([92.23691877], dtype=float64), 0.03738361096254904, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6796875, 6.027061335172412, 187.5, 0], Array([100.1280471], dtype=float64), 0.005283704628933562, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.69921875, 5.230153783470956, 187.5, 0], Array([81.57815201], dtype=float64), 0.2537098276008053, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.689453125, 0.14816474474920432, 187.5, 0], Array([93.06600629], dtype=float64), 0.031070647356240697, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6943359375, 1.981795246375551, 187.5, 0], Array([81.4883386], dtype=float64), 0.25686770233628126, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.69189453125, 2.9711047168569005, 187.5, 0], Array([84.08531592], dtype=float64), 0.17505351243789183, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.690673828125, 2.7355195474240537, 187.5, 0], Array([88.7408491], dtype=float64), 0.07712085913353513, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6900634765625, 6.11749693426006, 187.5, 0], Array([85.65487831], dtype=float64), 0.13530759412117513, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.68975830078125, 4.366049889747247, 187.5, 0], Array([98.32935934], dtype=float64), 0.008569952223850048, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.689910888671875, 0.29712714565100157, 187.5, 0], Array([74.76103104], dtype=float64), 0.5416530270314761, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.689834594726562, 2.8752386937161316, 187.5, 0], Array([91.05337099], dtype=float64), 0.04825818249798411, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -18.0, 2.698292636185414, 187.5, 0], Array([44.34018203], dtype=float64), 0.9999902775303767, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -13.0, 2.259496657569941, 187.5, 0], Array([101640.50744136], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -15.5, 1.39616559269386, 187.5, 0], Array([43.8620264], dtype=float64), 0.9999932129493865, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.25, 1.6952169313877394, 187.5, 0], Array([374.66904077], dtype=float64), 1.0207592256928743e-79, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.875, 3.0155860656152567, 187.5, 0], Array([71.02749767], dtype=float64), 0.7070757059959623, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.5625, 0.18374241302910063, 187.5, 0], Array([123.60597749], dtype=float64), 1.6591874860321422e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.71875, 2.0777996561924925, 187.5, 0], Array([90.34478534], dtype=float64), 0.05595083732787267, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -18.0, 5.988873942050221, 187.5, 0], Array([60.72175235], dtype=float64), 0.9676328021063579, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -13.0, 0.23730237145095315, 187.5, 0], Array([100345.45524238], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -15.5, 3.4288234081486766, 187.5, 0], Array([45.07741117], dtype=float64), 0.9999833621782204, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.25, 4.972857626021904, 187.5, 0], Array([365.56625657], dtype=float64), 1.4580636596113097e-76, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.875, 6.094980618688155, 187.5, 0], Array([61.98418931], dtype=float64), 0.9535119295688792, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.5625, 3.5333706734397885, 187.5, 0], Array([120.80535961], dtype=float64), 5.059196884888638e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.71875, 5.066741444339962, 187.5, 0], Array([75.48540366], dtype=float64), 0.5083342649214545, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.640625, 2.497782046883735, 187.5, 0], Array([97.35640997], dtype=float64), 0.011032281182157811, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6796875, 5.030396204334556, 187.5, 0], Array([88.71195513], dtype=float64), 0.077554144764844, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.66015625, 5.181363301844971, 187.5, 0], Array([93.20918559], dtype=float64), 0.03007864622892535, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.669921875, 4.472701807710736, 187.5, 0], Array([95.28345304], dtype=float64), 0.01849068622593581, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6748046875, 5.938753992756182, 187.5, 0], Array([86.52796654], dtype=float64), 0.1162750319185007, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.67236328125, 3.9258802214296638, 187.5, 0], Array([83.69786311], dtype=float64), 0.18598894551464012, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.671142578125, 4.589356392099322, 187.5, 0], Array([94.70207493], dtype=float64), 0.021257775040297484, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6717529296875, 4.2040461840075425, 187.5, 0], Array([86.84881901], dtype=float64), 0.1098112061885259, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.67144775390625, 0.10148881211683902, 187.5, 0], Array([90.32093807], dtype=float64), 0.0562263847859173, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -18.0, 0.35942666462002726, 187.5, 0], Array([40.88257967], dtype=float64), 0.9999994129898373, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -13.0, 4.121437142772862, 187.5, 0], Array([101906.29317546], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -15.5, 3.7834107870345464, 187.5, 0], Array([44.64878997], dtype=float64), 0.999987795571379, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.25, 1.0806708800114275, 187.5, 0], Array([365.66792645], dtype=float64), 1.3447714509258403e-76, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.875, 6.000452108286287, 187.5, 0], Array([70.99676202], dtype=float64), 0.7083427589365917, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.5625, 3.170863462578232, 187.5, 0], Array([112.43820845], dtype=float64), 0.00011228154236167005, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.71875, 0.25471900306715334, 187.5, 0], Array([82.00265856], dtype=float64), 0.23909431978917042, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.640625, 1.5820759097640882, 187.5, 0], Array([99.40456473], dtype=float64), 0.006434939798778484, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6796875, 2.5427009641975897, 187.5, 0], Array([92.75088605], dtype=float64), 0.03335324829569388, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.69921875, 2.303118924920104, 187.5, 0], Array([77.74982934], dtype=float64), 0.40618319255491353, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.689453125, 0.4557108781342198, 187.5, 0], Array([80.08407156], dtype=float64), 0.309095099444929, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6845703125, 3.5960118455987247, 187.5, 0], Array([102.26054762], dtype=float64), 0.0028972886206742304, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.68701171875, 4.857184846607734, 187.5, 0], Array([80.47530596], dtype=float64), 0.29402190754469976, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.685791015625, 1.1368779447279143, 187.5, 0], Array([96.78109557], dtype=float64), 0.01277044364248063, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6864013671875, 3.138526628780514, 187.5, 0], Array([101.90319347], dtype=float64), 0.003210751755205936, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.68670654296875, 4.8355279901749855, 187.5, 0], Array([73.95831756], dtype=float64), 0.5784749321976465, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.686553955078125, 4.287428760919445, 187.5, 0], Array([98.64234588], dtype=float64), 0.007890471137588515, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.686630249023438, 5.534216813133245, 187.5, 0], Array([92.69378842], dtype=float64), 0.03378183268424074, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.686668395996094, 1.0635139868052723, 187.5, 0], Array([89.66528872], dtype=float64), 0.06425031136387267, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.686649322509766, 6.1412791568736145, 187.5, 0], Array([82.90950658], dtype=float64), 0.20962562110469235, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.686639785766602, 5.059765349136552, 187.5, 0], Array([95.07773123], dtype=float64), 0.019431320788269934, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.686644554138184, 1.4672621691946326, 187.5, 0], Array([85.55635802], dtype=float64), 0.1375907592222284, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.686642169952393, 4.731933660649232, 187.5, 0], Array([93.59637771], dtype=float64), 0.027531406182479463, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.686643362045288, 0.5361518405218736, 187.5, 0], Array([81.6949446], dtype=float64), 0.24963745507838178, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.68664276599884, 4.626725869718714, 187.5, 0], Array([99.65159472], dtype=float64), 0.006018432407790287, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.686643064022064, 3.7804886360315026, 187.5, 0], Array([100.3303444], dtype=float64), 0.004997285813249492, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -18.0, 5.680405360113784, 187.5, 0], Array([41.77075273], dtype=float64), 0.9999987337540749, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -13.0, 1.053594717770471, 187.5, 0], Array([101637.57303012], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -15.5, 1.67963619374581, 187.5, 0], Array([58.50004974], dtype=float64), 0.9841088573336785, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.25, 4.965861946520377, 187.5, 0], Array([357.89714806], dtype=float64), 6.400679150671353e-74, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.875, 5.150101255918089, 187.5, 0], Array([68.36035486], dtype=float64), 0.8075667350019767, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.5625, 4.264523022598111, 187.5, 0], Array([107.15006058], dtype=float64), 0.0006560092047467782, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.71875, 3.2353137600960027, 187.5, 0], Array([82.9715681], dtype=float64), 0.2076976244710226, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.640625, 3.8750649406615976, 187.5, 0], Array([109.94869234], dtype=float64), 0.00026289510111991525, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6796875, 4.0757695091751724, 187.5, 0], Array([85.88767654], dtype=float64), 0.13002287640551144, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.66015625, 2.2741154626625164, 187.5, 0], Array([99.92094778], dtype=float64), 0.005592379127621784, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.669921875, 4.53916662213975, 187.5, 0], Array([98.64891391], dtype=float64), 0.007876749371762314, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6748046875, 4.324436765767711, 187.5, 0], Array([86.87183346], dtype=float64), 0.10935826932487594, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.67236328125, 3.376276767051779, 187.5, 0], Array([92.09829872], dtype=float64), 0.03853896057723173, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.673583984375, 1.8054774725775977, 187.5, 0], Array([87.1237163], dtype=float64), 0.1044935853854007, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6729736328125, 3.081344728340683, 187.5, 0], Array([95.18789481], dtype=float64), 0.01892251273406475, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.67327880859375, 0.533222911060007, 187.5, 0], Array([101.8088633], dtype=float64), 0.003298561601992201, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.673431396484375, 0.02351006773788491, 187.5, 0], Array([84.05150465], dtype=float64), 0.17598992160695687, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.673355102539062, 4.21312163614714, 187.5, 0], Array([83.31077271], dtype=float64), 0.1973627333705707, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.673316955566406, 3.03204902792829, 187.5, 0], Array([92.88010001], dtype=float64), 0.03240048404249314, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.673336029052734, 4.568247439286592, 187.5, 0], Array([92.75184492], dtype=float64), 0.033346090790518944, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.673345565795898, 1.8999971800836462, 187.5, 0], Array([92.26732742], dtype=float64), 0.037134136803713524, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.67335033416748, 1.1544330999451655, 187.5, 0], Array([89.46355674], dtype=float64), 0.06689884737670872, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.67334794998169, 3.4874010858708706, 187.5, 0], Array([82.03598724], dtype=float64), 0.2379687291840776, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.673346757888794, 4.398059648688309, 187.5, 0], Array([87.70929015], dtype=float64), 0.09382672791381168, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.673346161842346, 5.158582117650785, 187.5, 0], Array([93.33176768], dtype=float64), 0.02925111426874061, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.67334645986557, 1.7831972376358618, 187.5, 0], Array([92.09221929], dtype=float64), 0.038590315675020845, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -18.0, 5.088333354893694, 187.5, 0], Array([44.63982281], dtype=float64), 0.9999878753200548, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -13.0, 0.9446435327665651, 187.5, 0], Array([101561.42038424], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -15.5, 0.17517837399808497, 187.5, 0], Array([41.33792632], dtype=float64), 0.9999991256372123, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.25, 1.4939144076402988, 187.5, 0], Array([368.24719191], dtype=float64), 1.724460721838764e-77, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.875, 3.1165068372334357, 187.5, 0], Array([69.01544416], dtype=float64), 0.784822419570395, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.5625, 0.1146209044947899, 187.5, 0], Array([115.37222243], dtype=float64), 3.9452192485463564e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.71875, 3.880349474196581, 187.5, 0], Array([80.47331468], dtype=float64), 0.29409763724328136, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.640625, 1.882508316815681, 187.5, 0], Array([96.24866295], dtype=float64), 0.014592481479811495, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.6796875, 0.48022345110774783, 187.5, 0], Array([91.74245599], dtype=float64), 0.04164406281954546, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -18.0, 3.8444771202248513, 187.5, 0], Array([52.65745404], dtype=float64), 0.9985361505637776, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -13.0, 4.607552166303204, 187.5, 0], Array([102081.58212194], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -15.5, 3.145990617791643, 187.5, 0], Array([51.52480554], dtype=float64), 0.9991637915723387, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -8.0, -14.25, 4.797088555016999, 187.5, 0], Array([368.14655426], dtype=float64), 1.8684737631222328e-77, 76]
